Season,Day,Away,Home,Inning Orig,Away Orig,Home Orig,Shame Orig,Inning New,Away New,Home New,Shame New,Result Flipped
2,44,Flowers,Lovers,Bot 13,7.0,9.0,True,Bot 9,6.2,6.0,False,True
2,46,Magic,Firefighters,Bot 11,5.0,7.0,True,Top 9,5.0,5.1,False,False
2,49,Moist Talkers,Tigers,Bot 10,3.0,4.0,True,Top 9,3.0,3.1,False,False
2,50,Steaks,Millennials,Bot 15,6.0,7.0,True,Top 9,6.0,6.1,False,False
2,51,Dalé,Wild Wings,Bot 12,5.0,4.0,False,Bot 10,4.0,4.1,True,True
2,55,Crabs,Tigers,Bot 10,3.0,4.0,True,Top 9,3.0,3.1,False,False
2,61,Dalé,Spies,Bot 10,4.0,5.0,True,Top 9,3.0,3.1,False,False
2,65,Tacos,Firefighters,Bot 9,6.0,9.0,True,Top 9,6.0,6.1,False,False
2,68,Fridays,Flowers,Bot 13,7.0,9.0,True,Bot 9,7.2,7.1,False,True
2,70,Crabs,Garages,Bot 9,5.0,6.0,True,Top 9,5.0,5.1,False,False
2,71,Jazz Hands,Dalé,Bot 12,6.0,8.0,True,Bot 9,2.2,2.0,False,True
2,77,Flowers,Fridays,Bot 12,4.0,6.0,True,Bot 9,3.1,3.0,False,True
2,81,Firefighters,Tacos,Bot 10,7.0,10.0,True,Bot 9,7.1,7.0,False,True
2,83,Wild Wings,Moist Talkers,Bot 10,2.0,3.0,True,Top 9,2.0,2.1,False,False
2,94,Shoe Thieves,Lovers,Bot 12,6.0,3.0,False,Bot 9,3.0,3.1,True,True
2,96,Dalé,Sunbeams,Bot 10,1.0,2.0,True,Top 9,1.0,1.1,False,False
2,96,Wild Wings,Spies,Bot 12,2.0,6.0,True,Top 9,2.0,2.3,False,False
2,98,Crabs,Pies,Bot 11,2.0,3.0,True,Top 9,2.0,2.1,False,False
3,6,Jazz Hands,Dalé,Bot 9,3.0,4.0,True,Top 9,3.0,3.1,False,False
3,6,Tigers,Pies,Bot 14,3.0,6.0,True,Top 9,3.0,3.1,False,False
3,6,Firefighters,Tacos,Bot 12,3.0,9.0,True,Bot 9,3.1,3.0,False,True
3,10,Firefighters,Lovers,Bot 11,11.0,12.0,True,Top 9,10.0,10.1,False,False
3,11,Breath Mints,Flowers,Bot 11,6.0,10.0,True,Bot 9,6.3,6.1,False,True
3,17,Jazz Hands,Garages,Bot 9,4.0,5.0,True,Top 9,4.0,4.1,False,False
3,18,Wild Wings,Magic,Bot 11,2.0,3.0,True,Top 9,2.0,2.1,False,False
3,21,Pies,Moist Talkers,Bot 10,2.0,5.0,True,Bot 9,2.1,2.0,False,True
3,21,Shoe Thieves,Fridays,Bot 11,8.0,7.0,False,Bot 9,6.0,6.1,True,True
3,23,Steaks,Fridays,Bot 10,8.0,7.0,False,Bot 9,7.0,7.1,True,True
3,34,Steaks,Breath Mints,Bot 10,2.0,5.0,True,Bot 9,2.1,2.0,False,True
